Timed By,20 Yard Shuttle,100 Meter Dash,Bench: 1-rep max (lbs),Bench x 185 (lbs),Vertical Jump,Standing Broad Jump,Bench x 225 (lbs),Squat (lbs),Power Clean
N/A,4.25,N/A,270,17,266.7,10 feet 7 inches,6,N/A,265
N/A,N/A,N/A,215,N/A,N/A,N/A,N/A,N/A,N/A
N/A,5.1,N/A,335,N/A,22,N/A,10,N/A,N/A
N/A,None,N/A,335,N/A,27,N/A,13,N/A,N/A
Hand,4.9,N/A,405,N/A,22,8,23,N/A,N/A
N/A,4.4,N/A,N/A,N/A,32,N/A,N/A,N/A,N/A
N/A,4.5,N/A,N/A,N/A,32,N/A,N/A,N/A,N/A
N/A,4.23,N/A,245,N/A,33,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,N/A,N/A
Lazor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,260,N/A,N/A,N/A,8,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,265,16,"31""","9'3""",8,N/A,N/A
N/A,N/A,N/A,N/A,N/A,28 in,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michigan State,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,330,N/A,N/A,N/A,15,N/A,N/A
Nike Opening Combine,4.25,N/A,N/A,N/A,33.4 in,"8'9""",N/A,N/A,N/A
N/A,N/A,N/A,225,N/A,27,N/A,1,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,230,N/A,29.5,N/A,N/A,N/A,210
N/A,N/A,N/A,275,N/A,N/A,N/A,5,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,250,N/A,N/A,N/A,5,N/A,N/A
N/A,NA,N/A,NA,N/A,NA,N/A,195,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Coaches,N/A,N/A,225,N/A,40’,10’0,N/A,N/A,N/A
N/A,None ,N/A,225,N/A,None,N/A,1,N/A,N/A
N/A,N/A,N/A,220,6,N/A,N/A,0,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A
N/A,N/A,N/A,275,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.7,N/A,285,N/A,N/A,N/A,9,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Coach,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/a,N/A,N/a,N/A,N/a,N/A,N/a,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.2,N/A,205,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,29in,9.2,N/A,N/A,N/A
H.S. Coach,4.4,N/A,N/A,N/A,37,N/A,N/A,N/A,N/A
Browns High School Showcase,4.18,N/A,N/A,N/A,32.5,10’,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.29,N/A,270,N/A,29.5,N/A,8,N/A,N/A
N/A,3.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,300,N/A,N/A,N/A,6,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,306,16,N/A,N/A,12,N/A,N/A
N/A,N/A,N/A,235,N/A,N/A,N/A,2,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Coach,N/A,N/A,275,12,29.6,N/A,5,N/A,275
N/A,4.5,N/A,N/A,N/A,29,N/A,N/A,N/A,N/A
The Opening,N/A,N/A,225,5+,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,3.98,N/A,235,N/A,N/A,N/A,5,N/A,N/A
Northwestern University June 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,235,N/A,N/A,N/A,N/A,N/A,N/A
N/A,6.7,N/A,205,N/A,32,N/A,0,N/A,N/A
N/A,N/A,N/A,215,N/A,30 in,N/A,N/A,N/A,195
Doug Herbert,N/A,N/A,315,N/A,N/A,N/A,10,N/A,N/A
N/A,4.3,N/A,265,N/A,29,N/A,5,N/A,N/A
N/A,N/A,N/A,195,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,265,N/A,N/A,N/A,7,N/A,N/A
N/A,N/A,N/A,225,N/A,N/A,N/A,1,N/A,N/A
N/A,N/A,N/A,335,N/A,N/A,N/A,N/A,N/A,N/A
St. Eds Coaches,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,265,N/A,34,N/A,4,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,4.55,N/A,315,20,"25""","7' 10""",13,N/A,265
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,155
"Ashland University, Miami of Ohio, Bowling Green",4.15,N/A,240,5,33,9ft 11in,N/A,N/A,230
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NSCA Combine,4.9,N/A,405,23,20.6,93,16,N/A,N/A
N/A,4.9,N/A,315,N/A,N/A,N/A,N/A,N/A,N/A
DB coach,Na,N/A,215,7,Na,Na,Na,N/A,Na
N/A,N/A,N/A,260,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,355,N/A,N/A,N/A,26,N/A,N/A
N/A,N/A,N/A,215,N/A,N/A,N/A,N/A,N/A,N/A
Keith Shinn,5.13,N/A,285,16,N/A,7'1,9,N/A,N/A
Asst Coach,N/A,N/A,300,14,23.9'',7' 11'',N/A,N/A,255
N/A,N/A,N/A,295,N/A,N/A,N/A,12,N/A,225
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,300,N/A,N/A,N/A,10,N/A,N/A
N/A,NA,N/A,255,10,NA,N/A,5,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/a,N/A,N/a,N/A,33.4,N/A,N/a,N/A,N/A
N/A,N/A,N/A,350,N/A,N/A,N/A,7,N/A,N/A
N/A,4.4,N/A,280,N/A,35,N/A,10,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,180 last repped,N/A,N/A
